,Ancient_Name,Pleiades_ID2,Coordinates2,place_description2,latitude2,longitude2
0,Mesembria ,300354621,"[40.0, 36.0]",A place from the TAVO Index,40.0,36.0
1,Anchialus,874341,"[44.0108596, 36.1901948]",An ancient Mesopotamian city located between the two Zab rivers (modern Erbel/Erbil in Iraq).,44.0108596,36.1901948
2,Tonzi,641191185,"[40.0, 10.0]",A place from the TAVO Index,40.0,10.0
3,Apollonia,874341,"[44.0108596, 36.1901948]",An ancient Mesopotamian city located between the two Zab rivers (modern Erbel/Erbil in Iraq).,44.0108596,36.1901948
4,Peronticum,550808,"[28.017315783985964, 39.7459320190265]","An ancient place, cited: BAtlas 56 G2 Pelekas M.",28.017315783985964,39.7459320190265
5,Phinopolis,550808,"[28.017315783985964, 39.7459320190265]","An ancient place, cited: BAtlas 56 G2 Pelekas M.",28.017315783985964,39.7459320190265
6,Byzantium,727122,"[31.379406, 31.037798]","An ancient place, cited: BAtlas 74 E3 Hermopolis",31.379406,31.037798
7,Selymbria,894082,"[43.876735, 34.200116]",Site of a powerful Islamic capital that controlled the provinces of the Abbasid Empire extending from Tunisia to Central Asia for a century. Inscribed as a UNESCO World Heritage site in 2007. ,43.876735,34.200116
8,Perinthos,550808,"[28.017315783985964, 39.7459320190265]","An ancient place, cited: BAtlas 56 G2 Pelekas M.",28.017315783985964,39.7459320190265
9,Proeconnisus,550808,"[28.017315783985964, 39.7459320190265]","An ancient place, cited: BAtlas 56 G2 Pelekas M.",28.017315783985964,39.7459320190265
10,Cylla,89152,"[-2.029985, 54.97901]",A Roman town and fort at present-day Corbridge.,-2.029985,54.97901
11,Callipolis,89152,"[-2.029985, 54.97901]",A Roman town and fort at present-day Corbridge.,-2.029985,54.97901
12,Methymna,300354621,"[40.0, 36.0]",A place from the TAVO Index,40.0,36.0
13,Antissa,874341,"[44.0108596, 36.1901948]",An ancient Mesopotamian city located between the two Zab rivers (modern Erbel/Erbil in Iraq).,44.0108596,36.1901948
14,Dardanum Illium,912964,"[39.5388049, 38.4730716]","The Tigris river, one of the two great rivers that define Mesopotamia, flows 1,850 km from the Taurus Mountains to the Persian Gulf.",39.5388049,38.4730716
15,Aesipus,874341,"[44.0108596, 36.1901948]",An ancient Mesopotamian city located between the two Zab rivers (modern Erbel/Erbil in Iraq).,44.0108596,36.1901948
16,Antandrus,874341,"[44.0108596, 36.1901948]",An ancient Mesopotamian city located between the two Zab rivers (modern Erbel/Erbil in Iraq).,44.0108596,36.1901948
17,Traianopolis,641191185,"[40.0, 10.0]",A place from the TAVO Index,40.0,10.0
18,Prepenisus ,550808,"[28.017315783985964, 39.7459320190265]","An ancient place, cited: BAtlas 56 G2 Pelekas M.",28.017315783985964,39.7459320190265
19,Adramyttium,874341,"[44.0108596, 36.1901948]",An ancient Mesopotamian city located between the two Zab rivers (modern Erbel/Erbil in Iraq).,44.0108596,36.1901948
20,Caicus,89152,"[-2.029985, 54.97901]",A Roman town and fort at present-day Corbridge.,-2.029985,54.97901
21,Dadales,912964,"[39.5388049, 38.4730716]","The Tigris river, one of the two great rivers that define Mesopotamia, flows 1,850 km from the Taurus Mountains to the Persian Gulf.",39.5388049,38.4730716
22,Peperre,550808,"[28.017315783985964, 39.7459320190265]","An ancient place, cited: BAtlas 56 G2 Pelekas M.",28.017315783985964,39.7459320190265
23,Hierocesarea,39270,"[42.948026, 14.798024]","An ancient place, cited: BAtlas 4 B3 Adedou Kome",42.948026,14.798024
24,Myrina,300354621,"[40.0, 36.0]",A place from the TAVO Index,40.0,36.0
25,Nacrala,894082,"[43.876735, 34.200116]",Site of a powerful Islamic capital that controlled the provinces of the Abbasid Empire extending from Tunisia to Central Asia for a century. Inscribed as a UNESCO World Heritage site in 2007. ,43.876735,34.200116
26,Pactolus,550808,"[28.017315783985964, 39.7459320190265]","An ancient place, cited: BAtlas 56 G2 Pelekas M.",28.017315783985964,39.7459320190265
27,Iuliogordus,305142,"[5.057834, 36.74021]","Founded by Numidian Berbers, the settlement of Saldae (modern Béjaïa, Algeria) was a minor port during phases of Carthaginian and Roman occupation. The Roman emperor Vespasian established a veteran colony there, at a time when Saldae was part of the province of Mauretania Caesariensis.",5.057834,36.74021
28,Sypilus,894082,"[43.876735, 34.200116]",Site of a powerful Islamic capital that controlled the provinces of the Abbasid Empire extending from Tunisia to Central Asia for a century. Inscribed as a UNESCO World Heritage site in 2007. ,43.876735,34.200116
29,Hermus,39270,"[42.948026, 14.798024]","An ancient place, cited: BAtlas 4 B3 Adedou Kome",42.948026,14.798024
30,Daguta,912964,"[39.5388049, 38.4730716]","The Tigris river, one of the two great rivers that define Mesopotamia, flows 1,850 km from the Taurus Mountains to the Persian Gulf.",39.5388049,38.4730716
31,Nacolia,894082,"[43.876735, 34.200116]",Site of a powerful Islamic capital that controlled the provinces of the Abbasid Empire extending from Tunisia to Central Asia for a century. Inscribed as a UNESCO World Heritage site in 2007. ,43.876735,34.200116
