,Ancient_Name,Pleiades_ID1,Coordinates1,place_description1,latitude1,longitude1
0,Mesembria ,550706,"[27.4333969, 38.6125793]",Magnesia ad Sipylum was an ancient city in Lydia in Asia Minor (modern Manisa in Turkey). Lucius Cornelius Scipio Asiaticus defeated Antiochus the Great at the battle of Magnesia in 190 BC.,27.4333969,38.6125793
1,Anchialus,707558,"[33.347297, 35.157167]","An ancient place, cited: BAtlas 72 C2 Ledroi/Leuke Ousia",33.347297,35.157167
2,Tonzi,678418,"[35.220456, 32.519768]",Tell site at the northern edge of the Nablus Range inhabited from the Iron Age to the present.,35.220456,32.519768
3,Apollonia,707558,"[33.347297, 35.157167]","An ancient place, cited: BAtlas 72 C2 Ledroi/Leuke Ousia",33.347297,35.157167
4,Peronticum,362094923,"[67.6156799, 39.4878928]","The easternmost city of Sogdiana, inhabited from the fifth-ninth centuries CE.",67.6156799,39.4878928
5,Phinopolis,362094923,"[67.6156799, 39.4878928]","The easternmost city of Sogdiana, inhabited from the fifth-ninth centuries CE.",67.6156799,39.4878928
6,Byzantium,727187,"[30.9481907, 31.4877201]",Paralios Limne (Lake Burullus),30.9481907,31.4877201
7,Selymbria,796289136,,A pharaonic necropolis serving the ancient Egyptian city of Memphis. It was most active during Early Dynastic and Old Kingdom Egypt. The step pyramid complex of the Third Dynasty Pharaoh Djoser is the site's best preserved and most well-known structure.,,
8,Perinthos,362094923,"[67.6156799, 39.4878928]","The easternmost city of Sogdiana, inhabited from the fifth-ninth centuries CE.",67.6156799,39.4878928
9,Proeconnisus,362094923,"[67.6156799, 39.4878928]","The easternmost city of Sogdiana, inhabited from the fifth-ninth centuries CE.",67.6156799,39.4878928
10,Cylla,236435,"[-6.7489, 43.5108758]","An ancient place, cited: BAtlas 24 E1 Coaña (El Castelón de)",-6.7489,43.5108758
11,Callipolis,236435,"[-6.7489, 43.5108758]","An ancient place, cited: BAtlas 24 E1 Coaña (El Castelón de)",-6.7489,43.5108758
12,Methymna,550706,"[27.4333969, 38.6125793]",Magnesia ad Sipylum was an ancient city in Lydia in Asia Minor (modern Manisa in Turkey). Lucius Cornelius Scipio Asiaticus defeated Antiochus the Great at the battle of Magnesia in 190 BC.,27.4333969,38.6125793
13,Antissa,707558,"[33.347297, 35.157167]","An ancient place, cited: BAtlas 72 C2 Ledroi/Leuke Ousia",33.347297,35.157167
14,Dardanum Illium,609367,"[30.51684, 39.77489]",Dorylaion was an important city in the north of Phrygia (modern Eskişehir in Turkey).,30.51684,39.77489
15,Aesipus,707558,"[33.347297, 35.157167]","An ancient place, cited: BAtlas 72 C2 Ledroi/Leuke Ousia",33.347297,35.157167
16,Antandrus,707558,"[33.347297, 35.157167]","An ancient place, cited: BAtlas 72 C2 Ledroi/Leuke Ousia",33.347297,35.157167
17,Traianopolis,678418,"[35.220456, 32.519768]",Tell site at the northern edge of the Nablus Range inhabited from the Iron Age to the present.,35.220456,32.519768
18,Prepenisus ,362094923,"[67.6156799, 39.4878928]","The easternmost city of Sogdiana, inhabited from the fifth-ninth centuries CE.",67.6156799,39.4878928
19,Adramyttium,707558,"[33.347297, 35.157167]","An ancient place, cited: BAtlas 72 C2 Ledroi/Leuke Ousia",33.347297,35.157167
20,Caicus,236435,"[-6.7489, 43.5108758]","An ancient place, cited: BAtlas 24 E1 Coaña (El Castelón de)",-6.7489,43.5108758
21,Dadales,609367,"[30.51684, 39.77489]",Dorylaion was an important city in the north of Phrygia (modern Eskişehir in Turkey).,30.51684,39.77489
22,Peperre,362094923,"[67.6156799, 39.4878928]","The easternmost city of Sogdiana, inhabited from the fifth-ninth centuries CE.",67.6156799,39.4878928
23,Hierocesarea,727078,"[31.184021, 30.468973]",An ancient city of Lower Egypt located at present-day Tell Atrib to the northeast of Benha on the hill of Kom Sidi Yusuf.,31.184021,30.468973
24,Myrina,550706,"[27.4333969, 38.6125793]",Magnesia ad Sipylum was an ancient city in Lydia in Asia Minor (modern Manisa in Turkey). Lucius Cornelius Scipio Asiaticus defeated Antiochus the Great at the battle of Magnesia in 190 BC.,27.4333969,38.6125793
25,Nacrala,511337,"[29.916288, 40.765931]",Nicomedia was founded in 712/11 BC as a Megarian colony named Astacus and was rebuilt by Nicomedes I of Bithynia in 264 BC. The city was an important administrative center of the Roman Empire.,29.916288,40.765931
26,Pactolus,362094923,"[67.6156799, 39.4878928]","The easternmost city of Sogdiana, inhabited from the fifth-ninth centuries CE.",67.6156799,39.4878928
27,Iuliogordus,658371,"[36.180508, 36.57934]","An ancient place, cited: BAtlas 67 C3 Alexandria ad Issum",36.180508,36.57934
28,Sypilus,796289136,,A pharaonic necropolis serving the ancient Egyptian city of Memphis. It was most active during Early Dynastic and Old Kingdom Egypt. The step pyramid complex of the Third Dynasty Pharaoh Djoser is the site's best preserved and most well-known structure.,,
29,Hermus,727078,"[31.184021, 30.468973]",An ancient city of Lower Egypt located at present-day Tell Atrib to the northeast of Benha on the hill of Kom Sidi Yusuf.,31.184021,30.468973
30,Daguta,609367,"[30.51684, 39.77489]",Dorylaion was an important city in the north of Phrygia (modern Eskişehir in Turkey).,30.51684,39.77489
31,Nacolia,511337,"[29.916288, 40.765931]",Nicomedia was founded in 712/11 BC as a Megarian colony named Astacus and was rebuilt by Nicomedes I of Bithynia in 264 BC. The city was an important administrative center of the Roman Empire.,29.916288,40.765931
32,Amorium,707558,"[33.347297, 35.157167]","An ancient place, cited: BAtlas 72 C2 Ledroi/Leuke Ousia",33.347297,35.157167
33,Lysias,211790934,"[35.5, 35.0]",A place from the TAVO Index,35.5,35.0
34,Gamausa,499030282,"[56.9786755, 29.7970938]",Town in southern Iran built on a burial site used in the 3rd-4th millennia BCE and the Sasanian period. The town on the site was inhabited from from the 10th-14th century.,56.9786755,29.7970938
35,Druzon,609367,"[30.51684, 39.77489]",Dorylaion was an important city in the north of Phrygia (modern Eskişehir in Turkey).,30.51684,39.77489
36,Eumenia,438730,,Ecetra was a Volscian settlement that in the archaic period is identified as being in conflict with Rome. It subsequently disappears from the sources.,,
37,Melitara,550706,"[27.4333969, 38.6125793]",Magnesia ad Sipylum was an ancient city in Lydia in Asia Minor (modern Manisa in Turkey). Lucius Cornelius Scipio Asiaticus defeated Antiochus the Great at the battle of Magnesia in 190 BC.,27.4333969,38.6125793
38,Juliopolis,894082,"[43.876735, 34.200116]",Site of a powerful Islamic capital that controlled the provinces of the Abbasid Empire extending from Tunisia to Central Asia for a century. Inscribed as a UNESCO World Heritage site in 2007. ,43.876735,34.200116
39,Bleandrus,727187,"[30.9481907, 31.4877201]",Paralios Limne (Lake Burullus),30.9481907,31.4877201
40,Pelte,362094923,"[67.6156799, 39.4878928]","The easternmost city of Sogdiana, inhabited from the fifth-ninth centuries CE.",67.6156799,39.4878928
41,Philomelium,362094923,"[67.6156799, 39.4878928]","The easternmost city of Sogdiana, inhabited from the fifth-ninth centuries CE.",67.6156799,39.4878928
42,Laodicia,211790934,"[35.5, 35.0]",A place from the TAVO Index,35.5,35.0
43,Philadelphia,362094923,"[67.6156799, 39.4878928]","The easternmost city of Sogdiana, inhabited from the fifth-ninth centuries CE.",67.6156799,39.4878928
44,Gazena,499030282,"[56.9786755, 29.7970938]",Town in southern Iran built on a burial site used in the 3rd-4th millennia BCE and the Sasanian period. The town on the site was inhabited from from the 10th-14th century.,56.9786755,29.7970938
45,Neapolis,511337,"[29.916288, 40.765931]",Nicomedia was founded in 712/11 BC as a Megarian colony named Astacus and was rebuilt by Nicomedes I of Bithynia in 264 BC. The city was an important administrative center of the Roman Empire.,29.916288,40.765931
46,Loryma,211790934,"[35.5, 35.0]",A place from the TAVO Index,35.5,35.0
47,Aphrodisias Heraclea,707558,"[33.347297, 35.157167]","An ancient place, cited: BAtlas 72 C2 Ledroi/Leuke Ousia",33.347297,35.157167
48,Themisonium,678418,"[35.220456, 32.519768]",Tell site at the northern edge of the Nablus Range inhabited from the Iron Age to the present.,35.220456,32.519768
49,Trarium,678418,"[35.220456, 32.519768]",Tell site at the northern edge of the Nablus Range inhabited from the Iron Age to the present.,35.220456,32.519768
50,Dedacana ,609367,"[30.51684, 39.77489]",Dorylaion was an important city in the north of Phrygia (modern Eskişehir in Turkey).,30.51684,39.77489
51,Hippius,727078,"[31.184021, 30.468973]",An ancient city of Lower Egypt located at present-day Tell Atrib to the northeast of Benha on the hill of Kom Sidi Yusuf.,31.184021,30.468973
