,Ancient_Name,Pleiades_ID3,Coordinates3,place_description3,latitude3,longitude3
0,Mesembria ,310449388,"[46.15753, 30.86275]","Tall Marjab is a small, heavily denuded mound in the Dhi Qar province of southern Iraq, some 15 kilometers south of Nasiriya and ca. 10 kilometres southeast of Ur. Traces of a small settlement dating to fourth and third millennium BCE were found here in the course of brief excavations by British archaeologists Leonard Woolley and Max Mallowan in 1929-30.",46.15753,30.86275
1,Anchialus,309866128,"[36.3837531, 36.2397104]","A major Late Bronze Age city in the Amuq River Valley, inhabited during the Second Millennium BCE until about the 12th century BCE.",36.3837531,36.2397104
2,Tonzi,639147,"[29.422153, 36.552471]","An ancient settlement of Lykia, located two kilometers due east of the modern village of Düğer in Turkey's Mugla province.",29.422153,36.552471
3,Apollonia,309866128,"[36.3837531, 36.2397104]","A major Late Bronze Age city in the Amuq River Valley, inhabited during the Second Millennium BCE until about the 12th century BCE.",36.3837531,36.2397104
4,Peronticum,50713,,An ancient people whose territory is unlocated,,
5,Phinopolis,50713,,An ancient people whose territory is unlocated,,
6,Byzantium,727139,"[30.1892493, 31.2386531]","An ancient place, cited: BAtlas 74 C2 Kanopike Limne",30.1892493,31.2386531
7,Selymbria,451755914,"[32.8713129, 24.0542846]",A place from the TAVO Index,32.8713129,24.0542846
8,Perinthos,50713,,An ancient people whose territory is unlocated,,
9,Proeconnisus,50713,,An ancient people whose territory is unlocated,,
10,Cylla,459393126,"[48.5209832, 32.0113845]",An ancient Elamite complex founded ca. 1250 BC by the king Untash-Napirisha. Tchogha Zanbil was added to the UNESCO World Heritage List in 1979.,48.5209832,32.0113845
11,Callipolis,459393126,"[48.5209832, 32.0113845]",An ancient Elamite complex founded ca. 1250 BC by the king Untash-Napirisha. Tchogha Zanbil was added to the UNESCO World Heritage List in 1979.,48.5209832,32.0113845
12,Methymna,310449388,"[46.15753, 30.86275]","Tall Marjab is a small, heavily denuded mound in the Dhi Qar province of southern Iraq, some 15 kilometers south of Nasiriya and ca. 10 kilometres southeast of Ur. Traces of a small settlement dating to fourth and third millennium BCE were found here in the course of brief excavations by British archaeologists Leonard Woolley and Max Mallowan in 1929-30.",46.15753,30.86275
13,Antissa,309866128,"[36.3837531, 36.2397104]","A major Late Bronze Age city in the Amuq River Valley, inhabited during the Second Millennium BCE until about the 12th century BCE.",36.3837531,36.2397104
14,Dardanum Illium,727103,"[32.1774, 30.858]","Ancient town of Defenneh in the Egyptian Nile Delta, primarily of the Late Period and Ptolemaic Era.",32.1774,30.858
15,Aesipus,309866128,"[36.3837531, 36.2397104]","A major Late Bronze Age city in the Amuq River Valley, inhabited during the Second Millennium BCE until about the 12th century BCE.",36.3837531,36.2397104
16,Antandrus,309866128,"[36.3837531, 36.2397104]","A major Late Bronze Age city in the Amuq River Valley, inhabited during the Second Millennium BCE until about the 12th century BCE.",36.3837531,36.2397104
17,Traianopolis,639147,"[29.422153, 36.552471]","An ancient settlement of Lykia, located two kilometers due east of the modern village of Düğer in Turkey's Mugla province.",29.422153,36.552471
18,Prepenisus ,50713,,An ancient people whose territory is unlocated,,
19,Adramyttium,309866128,"[36.3837531, 36.2397104]","A major Late Bronze Age city in the Amuq River Valley, inhabited during the Second Millennium BCE until about the 12th century BCE.",36.3837531,36.2397104
20,Caicus,459393126,"[48.5209832, 32.0113845]",An ancient Elamite complex founded ca. 1250 BC by the king Untash-Napirisha. Tchogha Zanbil was added to the UNESCO World Heritage List in 1979.,48.5209832,32.0113845
21,Dadales,727103,"[32.1774, 30.858]","Ancient town of Defenneh in the Egyptian Nile Delta, primarily of the Late Period and Ptolemaic Era.",32.1774,30.858
22,Peperre,50713,,An ancient people whose territory is unlocated,,
23,Hierocesarea,727153,"[29.656394, 30.99482]","Immediately north of modern Hawwariya on the southern shore of Lake Mariout in Egypt, archaeological excavations have uncovered an extensive and evidently purpose-built settlement of the latter sixth century CE, with remains of harbor and industrial installations, baths, shops, a funerary church, and a large basilica. This site, probably to be identified as Philoxenite, catered to the needs of pilgrims travling to shrine of Saint Menas in Abu Mina. It expanded and replaced a site of at least Hellenistic and Roman date that is perhaps to be identified as Mareia.",29.656394,30.99482
